year mon series1 series2 series3 series4
1969 9 34.3506 52.8814 18.1112 39.8046
1969 10 34.5362 52.7894 18.1631 39.7968
1969 11 33.1171 53.0797 17.7469 39.5874
1969 12 32.9227 53.312 17.681 39.3552
1970 1 31.1944 53.2038 17.4346 38.4508
1970 2 31.6493 53.6268 17.5085 38.2347
1970 3 31.9499 53.3326 17.5439 38.1449
1970 4 31.9352 53.6421 17.5358 37.8811
1970 5 31.9668 54.0255 17.518 37.7556
1970 6 32.5869 53.7976 17.4117 37.5856
1970 7 32.645 53.9404 17.3664 37.7745
1970 8 31.6508 53.3184 17.3187 38.2315
1970 9 30.808 53.6021 16.9491 37.9678
1970 10 28.9639 53.9264 16.3945 36.9656
1970 11 29.0583 53.3775 16.3034 36.7444
1970 12 32.4399 54.2568 16.5115 37.5759
1971 1 33.7302 54.5325 16.1504 38.1004
1971 2 34.494 53.981 16.2403 37.8747
1971 3 34.534 54.1766 16.0774 37.947
1971 4 34.7574 54.6623 15.9815 38.1979
1971 5 35.2974 54.3714 15.8719 38.6477
1971 6 35.5769 54.7656 15.951 38.8214
1971 7 36.2431 55.5378 15.977 37.8846
1971 8 35.8877 54.8642 16.2205 37.6616
1971 9 35.8276 55.6329 16.5934 38.3823
1971 10 36.477 56.2768 16.7558 38.4971
1971 11 36.8406 56.6769 16.8323 38.562
1971 12 37.0038 57.1167 16.9267 39.3553
1972 1 38.1102 57.6036 17.4763 40.5849
1972 2 38.2637 57.9406 17.7389 40.998
1972 3 38.0065 58.1736 17.9792 41.4235
1972 4 39.1152 58.3865 18.2901 41.8183
1972 5 38.7659 58.2363 18.2438 41.9088
1972 6 38.7885 58.2527 18.322 41.98
1972 7 39.6473 58.3352 18.3357 41.6768
1972 8 39.9756 59.0336 18.6913 42.2988
1972 9 40.387 59.1667 18.8353 42.7227
1972 10 41.3221 59.9048 19.2276 43.1553
1972 11 42.275 59.8134 19.6196 43.7716
1972 12 43.1323 59.9547 19.8694 44.4783
1973 1 42.9747 59.8523 20.2053 44.8684
1973 2 43.7745 60.4647 20.6305 45.5663
1973 3 43.8269 60.6409 20.789 45.4178
1973 4 43.1419 60.211 20.9323 45.4881
1973 5 43.0278 60.8377 21.1639 45.7765
1973 6 42.9258 60.2754 21.3305 45.8584
1973 7 42.9012 60.1471 21.598 46.065
1973 8 41.5944 60.1766 21.6665 46.096
1973 9 42.9991 60.696 22.0602 46.3246
1973 10 42.6628 61.2115 22.3304 46.6675
1973 11 42.6415 61.4847 22.5038 46.9748
1973 12 41.7765 60.4419 22.5853 47.1891
1974 1 39.6576 60.6883 22.5599 46.8254
1974 2 39.544 60.4857 22.4633 46.7385
1974 3 39.553 60.5988 22.6721 46.5663
1974 4 39.3021 60.5063 22.4485 46.5152
1974 5 39.4149 61.2091 22.7782 46.7778
1974 6 39.9591 61.2538 22.8452 46.5907
1974 7 39.8438 61.1338 22.8352 46.7861
1974 8 39.8099 61.0808 22.8288 45.9632
1974 9 39.711 60.4481 23.258 46.0912
1974 10 39.2143 60.837 23.2785 45.8206
1974 11 37.3426 59.5704 22.9396 43.8477
1974 12 34.273 58.9798 21.9499 42.1302
1975 1 32.8557 58.0353 21.5291 41.7974
1975 2 31.8845 57.5618 20.8113 40.7725
1975 3 32.3038 57.5441 20.4665 40.2093
1975 4 33.5207 58.3831 20.2604 39.9316
1975 5 34.4024 58.1893 20.0203 39.6959
1975 6 34.7668 59.1645 19.8309 40.0053
1975 7 36.5396 60.0913 19.9947 40.1693
1975 8 37.0022 60.1962 19.8223 40.8095
1975 9 37.7523 60.897 20.1124 41.3172
1975 10 37.5834 61.1171 20.1515 41.5447
1975 11 37.6221 61.4501 20.145 41.7242
1975 12 38.2914 61.7086 20.4711 42.3447
1976 1 38.978 62.4553 20.7341 43.0162
1976 2 39.4192 62.4255 20.8657 43.6395
1976 3 39.361 62.241 20.9551 43.7913
1976 4 39.3587 62.5067 21.1871 44.0985
1976 5 39.4306 63.2057 21.3519 44.1857
1976 6 39.2446 62.972 21.4058 44.3218
1976 7 39.4302 63.4129 21.5902 44.437
1976 8 40.0318 63.1918 21.9443 44.8891
1976 9 39.7573 63.4231 21.8886 44.9773
1976 10 40.2598 63.7976 21.9936 44.7432
1976 11 41.5377 64.5399 22.7216 45.3204
1976 12 42.5251 64.806 23.0642 45.8026
1977 1 42.3945 64.6553 23.1108 45.4129
1977 2 42.9134 65.4722 23.6015 46.068
1977 3 44.0668 64.7585 23.9715 46.9742
1977 4 44.4199 65.1502 24.3668 47.3595
1977 5 44.6592 65.0892 24.8804 47.7444
1977 6 45.4947 65.2347 25.4309 47.9332
1977 7 45.5281 65.4343 25.5808 47.9305
1977 8 45.5583 65.5408 25.6417 47.8291
1977 9 45.7671 65.5453 25.7875 48.1905
1977 10 45.7596 66.4482 25.7084 48.4265
1977 11 45.7183 66.4321 25.6808 48.469
1977 12 45.9673 67.0776 26.0573 47.9914
